ID,name,URL,,,,,Comment
pp0303,Regner Badenhausen,https://explore.gnd.network/gnd/1014145066,,,,,
pp0304,Sebastian Friedrich Zobell,https://explore.gnd.network/gnd/1019766379,,,,,
pp0305,Philippe Chabot,https://explore.gnd.network/gnd/1114085987,,,,,
pp0306,Franz I. (Frankreich),https://explore.gnd.network/gnd/118534947,,,,,
pp0307,Luise von Savoyen,https://explore.gnd.network/gnd/121233782,,,,,
pp0308,"Heinrich III., Graf von Nassau",https://explore.gnd.network/gnd/121673391,,,,,
pp0309,Mercurino de Gattinara,https://explore.gnd.network/gnd/118639188,,,,,
pp0310,Laurent de Gorrevod,https://explore.gnd.network/gnd/132274701,,,,,
pp0311,Adrien de Croy,https://explore.gnd.network/gnd/132278146,,,,,
pp0312,Richard Sampson,https://explore.gnd.network/gnd/1146812191,,,,,
pp0313,Heinrich VIII. (England),https://explore.gnd.network/gnd/118548204,,,,,
pp0314,Margaret of Austria,https://explore.gnd.network/gnd/118730983,,,,,
pp0315,Margarete von Angoulême,https://explore.gnd.network/gnd/118577719,,,,,
pp0316,Karl von Bourbon,https://explore.gnd.network/gnd/119193833,,,,,
pp0317,Georges de Selve,https://explore.gnd.network/gnd/1157843352,,,,,
pp0318,Johann Philipp Schönborn,https://explore.gnd.network/gnd/136851401,,,,,
pp0319,Johann Philipp von Vorburg,https://explore.gnd.network/gnd/104282193,,,,,
pp0320,Johann Christoph von Aldenhofen,https://explore.gnd.network/gnd/1017621950,,,,,
pp0321,Niklas Frangepan,,,,,,
